Area_m,Northing,Datasource,Year,UniqueID,Region,Easting,COUNT,DODMIN,DODMAX,DODRANGE,DODMEAN,DODSTD,DODSUM,DODf,Volume_m,DODMEDIAN,Shape_Leng,Shape_Area,FeatID,nn_fit,DODcls
18479,7659410,AD,2016,1298,APTC,579487,4618.00000000000,-2.34618043900,2.70329093933,5.04947137833,0.10571585955,0.82000852043,488.19583941800,4,-1953.00000000000,0.02172124386,904.33258730200,18479.14391250000,0,5061.66051500000,0
10151,7659231,AD,2016,1299,APTC,579696,2541.00000000000,-2.36050105095,2.18836212158,4.54886317253,-0.25031948436,0.88631300447,-636.06180974700,4,2544.00000000000,-0.29964685440,495.68465715300,10151.44994140000,1,2226.56326200000,1
2355,7632040,AD,2016,1303,APTC,568327,590.00000000000,-0.88288283348,2.04279589653,2.92567873001,0.24681684515,0.55162043129,145.62193863900,4,-582.00000000000,0.17997294664,227.44668434900,2355.46181600000,2,300.46601470000,0
716,7659240,AD,2016,1304,APTC,563510,179.00000000000,-0.70361900330,2.53207969666,3.23569869995,0.47183203031,0.70008750112,84.45793342590,4,-338.00000000000,0.31342697144,133.99289087900,715.67050534200,3,58.74221710000,0
417,7658966,AD,2016,1305,APTC,563410,295.00000000000,-0.74977111816,0.91770172119,1.66747283936,0.02675865949,0.36275289169,7.89380455017,4,-32.00000000000,0.00164985657,79.70668777000,417.08413534300,4,27.99640926000,0
1647,7683366,AD,2016,1306,APTC,577667,416.00000000000,-0.83419704437,1.18914508820,2.02334213257,0.14464900815,0.37576893047,60.17398738860,4,-241.00000000000,0.14042615891,301.66458315400,1647.13014350000,5,184.03625780000,0
2653,7681612,AD,2016,1307,APTC,572837,659.00000000000,-0.79682540894,1.28278636932,2.07961177826,0.20418909215,0.41133524732,134.56061172500,4,-538.00000000000,0.16918087006,396.11425114600,2653.26302685000,6,353.77953390000,0
4688,7692085,AD,2016,1308,APTC,588682,1175.00000000000,-2.08676528931,2.14336204529,4.23012733459,0.12259141313,0.70924812914,144.04491043100,4,-576.00000000000,0.11428833008,381.39933611500,4687.60587277000,7,772.11156750000,0
270,7692029,AD,2016,1309,APTC,588742,67.00000000000,-0.26055717468,1.17285919189,1.43341636658,0.36866015819,0.36019976162,24.70023059840,4,-99.00000000000,0.34749603272,68.33574053090,270.05980784500,8,15.42839064000,0
2046,7684698,AD,2016,1310,APTC,587492,511.00000000000,-2.11210441589,1.18291234970,3.29501676559,-0.33402387521,0.69142871404,-170.68620023100,4,683.00000000000,-0.23581421375,214.27253937500,2045.57319785000,9,247.77390090000,1
1646,7684772,AD,2016,1311,APTC,587491,416.00000000000,-3.36910247803,1.03691864014,4.40602111816,-0.77423284597,0.91256064847,-322.08086392300,4,1288.00000000000,-0.58716750145,192.89017910400,1645.73760917000,10,183.88309400000,1
909,7698338,AD,2016,1312,APTC,587053,231.00000000000,-0.62899452448,1.07774639130,1.70674091578,0.24966821360,0.37622312387,57.67335734240,4,-231.00000000000,0.26967039704,202.48681788700,909.38880540100,11,81.47828523000,0
5799,7695304,AD,2016,1313,APTC,585130,1452.00000000000,-1.99708557129,1.63548946381,3.63257503510,0.05700352993,0.69559928853,82.76912546160,4,-331.00000000000,0.15022826195,401.58008681800,5799.24701377000,12,1033.47716200000,0
1552,7693526,AD,2016,1314,APTC,585004,387.00000000000,-2.08336639404,0.69697570801,2.78034210205,-0.39967209055,0.59994453753,-154.67309904100,4,619.00000000000,-0.27123498917,244.74290907000,1552.07318192000,13,169.64163300000,1
44754,7696806,AD,2016,1315,APTC,584638,11190.00000000000,-2.75422000885,8.39743614197,11.15165615080,0.31576998843,1.08625365979,3533.46617050000,4,-14134.00000000000,0.22921419144,1221.38124558000,44754.11018489990,14,17018.30206000000,0
11518,7695492,AD,2016,1316,APTC,584423,2878.00000000000,-2.18528842926,1.86995220184,4.05524063110,0.12992186543,0.75206872767,373.91512870800,4,-1496.00000000000,0.16138792038,566.65744995200,11518.32365390000,15,2647.59838900000,0
5913,7692339,AD,2016,1317,APTC,584948,1482.00000000000,-3.48578739166,2.68840503693,6.17419242859,-0.14624777239,1.06918400551,-216.73919868500,4,867.00000000000,-0.08083677292,466.62505078700,5912.70932829000,16,1061.42973500000,0
24430,7693892,AD,2016,1318,APTC,583501,6104.00000000000,-2.87376117706,2.06461238861,4.93837356567,-0.40380694185,1.01883933814,-2464.83757305000,4,9859.00000000000,-0.31632328033,853.29510340100,24430.36477690000,17,7421.70669500000,1
2886,7693126,AD,2016,1319,APTC,583906,719.00000000000,-0.53776931763,1.71724224091,2.25501155853,0.53089295840,0.39723248052,381.71203708600,4,-1527.00000000000,0.53000164032,374.80660184900,2886.04727273000,18,397.05469690000,0
2003,7699888,AD,2016,1320,APTC,583151,497.00000000000,-0.53629982472,0.90348434448,1.43978416920,0.16014426785,0.32910235140,79.59170111870,4,-318.00000000000,0.16044831276,257.89762441500,2003.34393037000,19,240.66323420000,0
52979,7699560,AD,2016,1321,APTC,583243,13242.00000000000,-6.37502956390,3.67691516876,10.05194473270,-1.00256739085,1.61869800768,-13275.99738960000,4,53104.00000000000,-0.71280097961,1546.72083772000,52979.32824910000,20,21446.78793000000,1
651,7694958,AD,2016,1322,APTC,573516,164.00000000000,-0.61510646343,1.30300092697,1.91810739040,0.40475300500,0.40999717727,66.37949281930,4,-266.00000000000,0.42389863730,150.32028546500,651.35261118200,21,51.55723429000,0
